A,OffPeg
325,100000000000
Dump Amount,Contrepartie bal,USG bal,Price Oracle
20000,1960004.454871113,2040000,0.999907876406592908
40000,1920013.831558055,2080000,0.99979231352435233
60000,1880028.1658990807,2120000,0.999670038972859867
80000,1840047.5177201612,2160000,0.999544767198599096
100000,1800071.9715306002,2200000,0.999416952832024469
120000,1760101.6375317702,2240000,0.999286216148123923
140000,1720136.6529442072,2280000,0.999151941276767548
160000,1680177.1837052626,2320000,0.999013418248727007
180000,1640223.4265600876,2360000,0.998869870489311821
200000,1600275.6116010104,2400000,0.998720452703493281
220000,1560334.0053166675,2440000,0.998564240070172301
240000,1520398.9142457875,2480000,0.998400213648231709
260000,1480470.689298755,2520000,0.998227242835232109
280000,1440549.730891352,2560000,0.998044064617604392
300000,1400636.4950400842,2600000,0.99784925896134472
320000,1360731.5005770454,2640000,0.997641219445817562
340000,1320835.3377352767,2680000,0.997418117987680041
360000,1280948.678376595,2720000,0.997177862184349109
380000,1241072.2882096476,2760000,0.996918043392682818
400000,1201207.0414619492,2800000,0.996635873111759921
420000,1161353.9385465095,2840000,0.996328104509569657
440000,1121514.1274697224,2880000,0.995990934952862036
460000,1081688.9298992606,2920000,0.995619884069931896
480000,1041879.8730807358,2960000,0.995209640056485845
500000,1002088.7291996202,3000000,0.994753864420681761
520000,962317.5642349875,3040000,0.994244941854722488
540000,922568.7990692428,3080000,0.993673656969519683
560000,882845.2865341029,3120000,0.993028772563996164
580000,843150.4094170308,3160000,0.99229647389482027
600000,803488.2062960132,3200000,0.991459628479577471
620000,763863.5347650284,3240000,0.990496788816288765
640000,724282.2854825708,3280000,0.989380832069823371
660000,684751.6662314944,3320000,0.988077079844061663
680000,645280.5837520498,3360000,0.986540662077696215
700000,605880.1641967568,3400000,0.98471276423508966
720000,566564.4732962574,3440000,0.982515196355364724
740000,527351.5292378333,3480000,0.979842394507223136
760000,488264.7524905647,3520000,0.976549419523819721
780000,449335.08056148735,3560000,0.972433595673935969
800000,410604.1148763347,3600000,0.967205854095580088
820000,372128.9015795814,3640000,0.960445133869592681
840000,333989.34567496437,3680000,0.951524587665319227
860000,296299.9249824219,3720000,0.939490900748714632
880000,259228.4355488072,3760000,0.922867806886689919
900000,223025.9501689628,3800000,0.899348545463654398
920000,188073.08374987065,3840000,0.865374277774295429
940000,154943.49980772057,3880000,0.815790777231405564
960000,124461.89292607148,3920000,0.744417746788606853
980000,97666.98262591547,3960000,0.647401293137590317
1000000,75521.82358830504,4000000,0.529845932374182959
