START ;OUT1;POOL2;OUT2;POOL3;OUT3;POOL4;OUT4;POOL5;OUT5;;;;Last;;;;;;;;;
USDC/fxUSD;USDC;tgUSD-USDC*;tgUSD*;;;;;;;;;;tgUSD*;;;;;;;;;
USDC/fxUSD;USDC;deUSD/USDC;deUSD;deUSD/DOLA;DOLA;wDOLA*;wDOLA*;tgUSD-wDOLA*;tgUSD*;;;;tgUSD*;;;;;;;;;
USDC/fxUSD;USDC;crvUSD/USDC;crvUSD;wcrvUSD*;wcrvUSD*;tgUSD-wcrvUSD*;tgUSD*;;;;;;tgUSD*;;;;;;;;;
USDC/fxUSD;USDC;USR/USDC;USR;wUSR*;wUSR*;tgUSD-wUSR*;tgUSD*;;;;;;tgUSD*;;;;;;;;;
USDC/fxUSD;USDC;USDC/USDe;USDe;wUSDe*;wUSDe*;tgUSD-wUSDe*;tgUSD*;;;;;;tgUSD*;;;;;;;;;
USDC/fxUSD;USDC;FRAX/USDC;FRAX;FRAX/frxUSD;frxUSD;wfrxUSD*;wfrxUSD*;tgUSD-wfrxUSD*;tgUSD*;;;;tgUSD*;;;;;;;;;
USDC/crvUSD;USDC;tgUSD-USDC*;tgUSD*;;;;;;;;;;tgUSD*;;;;;;;;;
USDC/crvUSD;crvUSD;crvUSD/DOLA;DOLA;wDOLA*;wDOLA*;tgUSD-wDOLA*;tgUSD*;;;;;;tgUSD*;;;;;;;;;
USDC/crvUSD;crvUSD;wcrvUSD*;wcrvUSD*;tgUSD-wcrvUSD*;tgUSD*;;;;;;;;tgUSD*;;;;;;;;;
USDC/crvUSD;USDC;USR/USDC;USR;wUSR*;wUSR*;tgUSD-wUSR*;tgUSD*;;;;;;tgUSD*;;;;;;;;;
USDC/crvUSD;USDC;USDC/USDe;USDe;wUSDe*;wUSDe*;tgUSD-wUSDe*;tgUSD*;;;;;;tgUSD*;;;;;;;;;
USDC/crvUSD;USDC;FRAX/USDC;FRAX;FRAX/frxUSD;frxUSD;wfrxUSD*;wfrxUSD*;tgUSD-wfrxUSD*;tgUSD*;;;;tgUSD*;;;;;;;;;
USDT/crvUSD;USDT;USDT/USDC;USDC;tgUSD-USDC*;tgUSD*;;;;;;;;tgUSD*;;;;;;;;;
USDT/crvUSD;crvUSD;crvUSD/DOLA;DOLA;wDOLA*;wDOLA*;tgUSD-wDOLA*;tgUSD*;;;;;;tgUSD*;;;;;;;;;
USDT/crvUSD;crvUSD;wcrvUSD*;wcrvUSD*;tgUSD-wcrvUSD*;tgUSD*;;;;;;;;tgUSD*;;;;;;;;;
USDT/crvUSD;USDT;USDT/USDC;USDC;USR/USDC;USR;wUSR*;wUSR*;tgUSD-wUSR*;tgUSD*;;;;tgUSD*;;;;;;;;;
USDT/crvUSD;crvUSD;crvUSD/FRAX;FRAX;FRAX/frxUSD;frxUSD;wfrxUSD*;wfrxUSD*;tgUSD-wfrxUSD*;tgUSD*;;;;tgUSD*;;;;;;;;;
sDAI/sUSDe;sUSDe;DOLA/sUSDe;DOLA;wDOLA*;wDOLA*;tgUSD-wDOLA*;tgUSD*;;;;;;tgUSD*;;;;;;;;;
sDAI/sUSDe;sUSDe;scrvUSD/sUSDe;scrvUSD;scrvUSD;crvUSD;wcrvUSD*;wcrvUSD*;tgUSD-wcrvUSD*;tgUSD*;;;;tgUSD*;;;;;;;;;
sDAI/sUSDe;sUSDe;DOLA/sUSDe;DOLA;DOLA/USR;USR;wUSR*;wUSR*;tgUSD-wUSR*;tgUSD*;;;;tgUSD*;;;;;;;;;
sDAI/sUSDe;sDAI;sDAI/FRAX;FRAX;FRAX/frxUSD;frxUSD;wfrxUSD*;wfrxUSD*;tgUSD-wfrxUSD*;tgUSD*;;;;tgUSD*;;;;;;;;;
USDC/USDT;USDC;tgUSD-USDC*;tgUSD*;;;;;;;;;;tgUSD*;;;;;;;;;
USDC/USDT;USDT;deUSD/USDT;deUSD;deUSD/DOLA;DOLA;wDOLA*;wDOLA*;tgUSD-wDOLA*;tgUSD*;;;;tgUSD*;;;;;;;;;
