user;asset-type;pricePerShare;action;amountToken;amountLp;diffDay
alice;stableAsset;0,001071432878948124;deposit;5000;4666647,90510137459315505;0;
bob;govAsset;0,001075510248307038;deposit;5000;4648956,165569323501541335;10;
bob;govAsset;0,001079577026982318;deposit;3000;2778866,097573169680365802;20;
alice;stableAsset;0,001083655008578208;deposit;1000;922802,914289145513893655;30;
bob;govAsset;0,001087765972803494;withdraw;6457,322062055015345276;5936315,552703480550980184;40;
alice;stableAsset;0,001091992639457036;withdraw;3048,767757114083904845;2791930,684285564793470828;50;
freddy;stableAsset;0,001091992639457036;deposit;5000;4578785,441709674393120262;50;
alice;stableAsset;0,001096243584644482;withdraw;3060,636101420131272964;2791930,684285564793470829;60;
bob;govAsset;0,001096243584644482;withdraw;1626,911960269114387228;1484078,888175870137745047;60;
freddy;stableAsset;0,001100594490348229;withdraw;5034,346643602719187174;4574206,656267964718727142;70;
